x   n           ,0       ,1       ,2       ,3       ,4       ,5       ,6       ,7       ,8       ,9       ,10      ,11      ,12      ,13      ,14      ,15      ,16      ,17      ,18      ,19      ,20      ,21      ,22      ,23      ,24      ,25      ,26      ,27      ,28      ,29      ,30      ,31      ,32       ,33      
x   ex          ,ilo     ,ilon    ,iloa    ,ilossa  ,ilosta  ,iloon   ,ilolla  ,ilolta  ,ilolle  ,ilona   ,iloksi  ,ilotta  ,ilot    ,ilojen  ,iloja   ,iloissa ,iloista ,iloihin ,iloilla ,iloilta ,iloille ,iloina  ,iloiksi ,iloitta ,iloin   ,ilojen  ,omenoide,omenoitt,ulappain,unten   ,uniin   ,iloihin ,iloja    ulapoita 
x   mto         ,NomSg   ,GenSg   ,ParSg   ,IneSg   ,ElaSg   ,IllSg   ,AdeSg   ,AblSg   ,AllSg   ,EssSg   ,TraSg   ,AbeSg   ,NomPl   ,GenPl   ,ParPl   ,InePl   ,ElaPl   ,IllPl   ,AdePl   ,AblPl   ,AllPl   ,EssPl   ,TraPl   ,AbePl   ,InsPl   ,GenPl   ,GenPl   ,GenPl   ,GenPl   ,GenPl   ,IllPl   ,IllPl   ,ParPl,   ParPl   
x   paa         ,  x     ,n       ,a  x    ,ssa     ,sta     ,n  x   ,lla     ,lta     ,lle     ,na  x   ,ksi     ,tta     ,t       ,en x    ,a  x    ,issa    ,ista    ,in      ,illa    ,ilta    ,ille    ,ina x   ,iksi    ,itta    ,in      ,en  x   ,iden    ,itten   ,in      ,ten     ,in      ,ihin    ,a       ,ita     
01  ukko        ,        ,        ,        ,        ,        ,_       ,        ,        ,        ,        ,        ,        ,        ,j       ,j       ,        ,        ,!       ,        ,        ,        ,        ,        ,        ,        ,j       ,!       ,!       ,!       ,!       ,!       ,        ,j       ,!       
02  kotelo      ,        ,        ,        ,        ,        ,_       ,        ,        ,        ,        ,        ,        ,        ,j       ,it      ,        ,        ,!       ,        ,        ,        ,        ,        ,        ,        ,j       ,        ,        ,!       ,!       ,!       ,        ,j       ,        
03  avio        ,        ,        ,t       ,        ,        ,_       ,        ,        ,        ,        ,        ,        ,        ,id      ,it      ,        ,        ,!       ,        ,        ,        ,        ,        ,        ,        ,!       ,        ,        ,!       ,!       ,!       ,        ,!       ,        
04  elikko      ,        ,        ,        ,        ,        ,_       ,        ,        ,        ,        ,        ,        ,        ,j       ,j       ,        ,        ,!      ,        ,        ,        ,        ,        ,        ,        ,j       ,        ,        ,!       ,!       ,!       ,        ,j       ,        
05  häkki       ,        ,        ,        ,        ,        ,_       ,        ,        ,        ,        ,        ,        ,        ,        ,ej-     ,e-      ,e-      ,!       ,e-      ,e-      ,e-      ,e-      ,e-      ,e-      ,e-      ,        ,!       ,!       ,!       ,!       ,!       ,e-      ,eja-    ,!       
06  vokaali     ,        ,        ,        ,        ,        ,_       ,        ,        ,        ,        ,        ,        ,        ,        ,ej-     ,e-      ,e-      ,!       ,e-      ,e-      ,e-      ,e-      ,e-      ,e-      ,e-      ,        ,e-      ,e-      ,!       ,!       ,!       ,e-      ,ej-     ,e-      
07  hanhi       ,        ,e-      ,e-      ,e-      ,e-      ,ee-     ,e-      ,e-      ,e-      ,e-      ,e-      ,e-      ,e-      ,        ,        ,-       ,-       ,        ,-       ,-       ,-       ,-       ,-       ,-       ,-       ,        ,!       ,!       ,!       ,!       ,        ,!       ,        ,!       
08  nukke       ,        ,        ,        ,        ,        ,_       ,        ,        ,        ,        ,        ,        ,        ,j       ,j       ,        ,        ,!       ,        ,        ,        ,        ,        ,        ,        ,j       ,!       ,!       ,        ,        ,!       ,        ,j       ,!       
09  ankka       ,        ,        ,        ,        ,        ,_       ,        ,        ,        ,        ,        ,        ,        ,oj-     ,oj-     ,o-      ,o-      ,!       ,o-      ,o-      ,o-      ,o-      ,o-      ,o-      ,o-      ,oj-     ,!       ,!       ,        ,!       ,!       ,o-      ,oj-     ,!       
10  fokka       ,        ,        ,        ,        ,        ,_       ,        ,        ,        ,        ,        ,        ,        ,i-      ,i-      ,-       ,-       ,i-      ,-       ,-       ,-       ,-       ,-       ,-       ,-       ,i-      ,!       ,!       ,        ,!       ,i-      ,!       ,i-      ,!       
11  itara       ,        ,        ,        ,        ,        ,_       ,        ,        ,        ,        ,        ,        ,        ,i-      ,i-      ,-       ,-       ,i-      ,-       ,-       ,-       ,-       ,-       ,-       ,-       ,oj-     ,o-      ,o-      ,        ,!       ,i-      ,o-      ,i-      ,o-      
12  urea        ,        ,        ,        ,        ,        ,_       ,        ,        ,        ,        ,        ,        ,        ,oid-    ,oit-    ,o-      ,o-      ,!       ,o-      ,o-      ,o-      ,o-      ,o-      ,o-      ,o-      ,!       ,o-      ,o-      ,        ,!       ,!       ,o-      ,!       ,o-      
13  aluna       ,        ,        ,        ,        ,        ,_       ,        ,        ,        ,        ,        ,        ,        ,oid-    ,oit-    ,o-      ,o-      ,!       ,o-      ,o-      ,o-      ,o-      ,o-      ,o-      ,o-      ,oj-     ,o-      ,o-      ,        ,!       ,i-      ,o-      ,oj-     ,o-      
14  ulappa      ,        ,        ,        ,        ,        ,_       ,        ,        ,        ,        ,        ,        ,        ,oj-     ,oj-     ,o-      ,o-      ,!       ,o-      ,o-      ,o-      ,o-      ,o-      ,o-      ,o-      ,oj-     ,o-      ,o-      ,        ,!       ,i-      ,o-      ,oj-     ,o-      
15  upea        ,        ,        ,        ,        ,        ,_       ,        ,        ,        ,        ,        ,        ,        ,id-     ,it-     ,-       ,-       ,isi-    ,-       ,-       ,-       ,-       ,-       ,-       ,-       ,!       ,-       ,-       ,        ,!       ,isi-    ,-       ,!       ,-       
16  aiempi      ,        ,a-      ,a-      ,a-      ,a-      ,aa-     ,a-      ,a-      ,a-      ,a-      ,a-      ,a-      ,a-      ,        ,        ,-       ,-       ,        ,-       ,-       ,-       ,-       ,-       ,-       ,-       ,        ,!       ,!       ,a-       ,!       ,        ,!       ,        ,!       
17  keruu       ,        ,        ,t       ,        ,        ,see     ,        ,        ,        ,        ,        ,        ,        ,id-     ,it-     ,-       ,-       ,isi-    ,-       ,-       ,-       ,-       ,-       ,-       ,-       ,!       ,-       ,-       ,!       ,!       ,isi-    ,-       ,!       ,-       
18  jää         ,        ,        ,t       ,        ,        ,hxx     ,        ,        ,        ,        ,        ,        ,        ,id-     ,it-     ,-       ,-       ,!     ,-       ,-       ,-       ,-       ,-       ,-       ,-       ,!       ,-       ,-       ,!       ,!       ,!       ,-       ,!       ,-       
19  suo         ,        ,        ,t       ,        ,        ,hxx     ,        ,        ,        ,        ,        ,        ,        ,id-     ,it-     ,-       ,-       ,!       ,-       ,-       ,-       ,-       ,-       ,-       ,-       ,!       ,-       ,-       ,!       ,!       ,!       ,-       ,!       ,-       
20  filee       ,        ,        ,t       ,        ,        ,see     ,        ,        ,        ,        ,        ,        ,        ,id-     ,it-     ,-       ,-       ,!       ,-       ,-       ,-       ,-       ,-       ,-       ,-       ,!       ,-       ,-       ,!       ,!       ,isi-    ,-       ,!       ,-       
21  gay         ,        ,        ,t       ,        ,        ,hxx     ,        ,        ,        ,        ,        ,        ,        ,id      ,it      ,        ,        ,!      ,        ,        ,        ,        ,        ,        ,        ,!       ,        ,        ,!       ,!       ,!       ,       ,!       ,        
22  buffet      ,        ,        ,'t      ,        ,        ,'hxx    ,        ,        ,        ,'       ,        ,        ,        ,'       ,'       ,        ,        ,'       ,        ,        ,        ,'       ,        ,        ,        ,i       ,!       ,!       ,!       ,!       ,!       ,e       ,        ,!       
23  lohi        ,        ,e-      ,t-      ,e-      ,e-      ,ee-     ,e-      ,e-      ,e-      ,e-      ,e-      ,e-      ,e-      ,        ,        ,-       ,-       ,        ,-       ,-       ,-       ,-       ,-       ,-       ,-       ,        ,!       ,!       ,!       ,!       ,        ,!       ,        ,!       
24  uni         ,        ,e-      ,t-      ,e-      ,e-      ,ee-     ,e-      ,e-      ,e-      ,e-      ,e-      ,e-      ,e-      ,        ,        ,-       ,-       ,        ,-       ,-       ,-       ,-       ,-       ,-       ,-       ,        ,!       ,!       ,!       ,-       ,        ,!       ,        ,!       
25  liemi       ,        ,e-      ,nt--    ,e-      ,e-      ,ee-     ,e-      ,e-      ,e-      ,e-      ,e-      ,e-      ,e-      ,        ,        ,-       ,-       ,        ,-       ,-       ,-       ,-       ,-       ,-       ,-       ,        ,!       ,!       ,!       ,n--     ,        ,!       ,        ,!       
26  veri        ,        ,e-      ,t-      ,e-      ,e-      ,ee-     ,e-      ,e-      ,e-      ,e-      ,e-      ,e-      ,e-      ,        ,        ,-       ,-       ,        ,-       ,-       ,-       ,-       ,-       ,-       ,-       ,        ,!       ,!       ,!       ,-       ,        ,-       ,        ,!       
27  mesi        ,si      ,de      ,tt      ,de      ,de      ,tee     ,de      ,de      ,de      ,te      ,de      ,de      ,de      ,si      ,si      ,s       ,s       ,si      ,s       ,s       ,s       ,s       ,s       ,s       ,s       ,si      ,!       ,!       ,!       ,t       ,si      ,s       ,si      ,!       
28  kansi       ,si      ,e*      ,tt      ,e*      ,e*      ,tee     ,e*      ,e*      ,e*      ,te      ,e*      ,e*      ,e*      ,si      ,si      ,s       ,s       ,si      ,s       ,s       ,s       ,s       ,s       ,s       ,s       ,si      ,!       ,!       ,!       ,t       ,si      ,s       ,si      ,!       
29  lapsi       ,psi     ,pse     ,st      ,pse     ,pse     ,psee    ,pse     ,pse     ,pse     ,pse     ,pse     ,pse     ,pse     ,psi     ,psi     ,ps      ,ps      ,psi     ,ps      ,ps      ,ps      ,ps      ,ps      ,ps      ,ps      ,psi     ,!       ,!       ,!       ,s       ,psi     ,ps      ,psi     ,!       
30  peitsi      ,tsi     ,tse     ,st      ,tse     ,tse     ,tsee    ,tse     ,tse     ,tse     ,tse     ,tse     ,tse     ,tse     ,tsi     ,tsi     ,ts      ,ts      ,tsi     ,ts      ,ts      ,ts      ,ts      ,ts      ,ts      ,ts      ,tsi     ,!       ,!       ,!       ,s       ,tsi     ,ts      ,tsi     ,!       
31  yksi        ,ksi     ,hde     ,ht      ,hde     ,hde     ,htee    ,hde     ,hde     ,hde     ,hte     ,hde     ,hde     ,hde     ,ksi     ,ksi      ,ks      ,ks      ,ksi     ,ks      ,ks     ,ks      ,ks      ,ks      ,ks      ,ks      ,ksi     ,!       ,!       ,!       ,!       ,ksi     ,!       ,ksi     ,!       
32  tytär       ,        ,e       ,t       ,e       ,e       ,ee      ,e       ,e       ,e       ,e       ,e       ,e       ,e       ,i       ,i       ,        ,        ,i       ,        ,        ,        ,        ,        ,        ,        ,i       ,!       ,!       ,!       ,        ,i       ,        ,i       ,!       
33  asetin      ,n       ,me      ,nt      ,me      ,me      ,mee     ,me      ,me      ,me      ,me      ,me      ,me      ,me      ,nt      ,mi      ,m       ,m       ,mi      ,m       ,m       ,m       ,m       ,m       ,m       ,m       ,mi      ,!       ,!       ,!       ,n       ,mi      ,!       ,mi      ,!       
34  hapan       ,n       ,ma      ,nt      ,ma      ,ma      ,maa     ,ma      ,ma      ,ma      ,ma      ,ma      ,ma      ,ma      ,mi      ,mi      ,m       ,m       ,mi      ,m       ,m       ,m       ,m       ,m       ,m       ,m       ,mi      ,!       ,!       ,!       ,n       ,mi      ,m       ,mi      ,!       
35  lämmin      ,n       ,ma      ,nt      ,ma      ,ma      ,maa     ,ma      ,ma      ,ma      ,ma      ,ma      ,ma      ,ma      ,mi      ,mi      ,m       ,m       ,mi      ,m       ,m       ,m       ,m       ,m       ,m       ,m       ,mi      ,!       ,!       ,!       ,n        ,mi      ,m       ,mi      ,!       
36  alin        ,n       ,mma     ,nt      ,mma     ,mma     ,mpaa    ,mma     ,mma     ,mma     ,mpa     ,mma     ,mma     ,mma     ,mpi     ,mpi     ,mm      ,mm      ,mpi     ,mm      ,mm      ,mm      ,mp      ,mm      ,mm      ,mm      ,mpi     ,!       ,!       ,mpa     ,n       ,mpi     ,mp      ,mpi     ,!       
37  vasen       ,n       ,mma     ,nt      ,mma     ,mma     ,mpaa    ,mma     ,mma     ,mma     ,mpa     ,mma     ,mma     ,mma     ,mpi     ,mpi     ,mm      ,mm      ,mpi     ,mm      ,mm      ,mm      ,mp      ,mm      ,mm      ,mm      ,mpi     ,!       ,!       ,mpa     ,n       ,mpi     ,mp      ,mpi     ,!       
38  öinen       ,nen     ,se      ,st      ,se      ,se      ,see     ,se      ,se      ,se      ,se      ,se      ,se      ,se      ,si      ,si      ,s       ,s       ,si      ,s       ,s       ,s       ,s       ,s       ,s       ,s       ,si      ,!       ,!       ,!       ,s       ,si      ,s       ,si      ,!       
39  ajos        ,s       ,kse     ,st      ,kse     ,kse     ,ksee    ,kse     ,kse     ,kse     ,kse     ,kse     ,kse     ,kse     ,ksi     ,ksi     ,ks      ,ks      ,ksi     ,ks      ,ks      ,ks      ,ks      ,ks      ,ks      ,ks      ,ksi     ,!       ,!       ,!       ,s       ,ksi     ,ks      ,ksi     ,!       
40  etuus       ,s       ,de      ,tt      ,de      ,de      ,tee     ,de      ,de      ,de      ,te      ,de      ,de      ,de      ,ksi     ,ksi     ,ks      ,ks      ,ksi     ,ks      ,ks      ,ks      ,ks      ,ks      ,ks      ,ks      ,ksi     ,!       ,!       ,!       ,!       ,ksi     ,ks      ,ksi     ,!       
41  rakas       ,s       ,_       ,st      ,_       ,_       ,see_    ,_       ,_       ,_       ,_       ,_       ,_       ,_       ,id      ,it      ,        ,        ,isi     ,        ,        ,        ,        ,        ,        ,        ,!       ,        ,        ,!       ,!       ,isi     ,        ,!       ,        
42  mies        ,s       ,he      ,st      ,he      ,he      ,hee     ,he      ,he      ,he      ,he      ,he      ,he      ,he      ,hi      ,hi      ,h       ,h       ,!       ,h       ,h       ,h       ,h       ,h       ,h       ,h       ,hi      ,!       ,!       ,!       ,s       ,hi      ,        ,hi      ,!       
43  immyt       ,t       ,e       ,tt      ,e       ,e       ,ee      ,e       ,e       ,e       ,e       ,e       ,e       ,e       ,id      ,it      ,        ,        ,isi     ,        ,        ,        ,        ,        ,        ,        ,!       ,        ,        ,!       ,!       ,isi     ,        ,!       ,        
44  kevät       ,t       ,a       ,tt      ,a       ,a       ,asee    ,a       ,a       ,a       ,a       ,a       ,a       ,a       ,id      ,it      ,        ,        ,isi     ,        ,        ,        ,        ,        ,        ,        ,!       ,        ,        ,!       ,!       ,isi     ,        ,!       ,        
45  sadas       ,s       ,nne     ,tt      ,nne     ,nne     ,ntee    ,nne     ,nne     ,nne     ,nte     ,nne     ,nne     ,nne     ,nsi     ,nsi     ,ns      ,ns      ,nsi     ,ns      ,ns      ,ns      ,ns      ,ns      ,ns      ,ns      ,nsi     ,!       ,!       ,!       ,!       ,nsi     ,ns      ,nsi     ,!       
46  tuhat       ,t       ,nne     ,tt      ,nne     ,nne     ,ntee    ,nne     ,nne     ,nne     ,nte     ,nne     ,nne     ,nne     ,nsi     ,nsi     ,ns      ,ns      ,nsi     ,ns      ,ns      ,ns      ,ns      ,ns      ,ns      ,ns      ,nsi     ,!       ,!       ,!       ,n       ,nsi     ,ns      ,nsi     ,!       
47  mennyt      ,t       ,ee-     ,tt      ,ee-     ,ee-     ,eesee-   ,ee-     ,ee-     ,ee-     ,ee-     ,ee-     ,ee-     ,ee-     ,eid-    ,eit-    ,e-      ,e-      ,eisi    ,e-      ,e-      ,e-      ,e-      ,e-      ,e-      ,e-      ,!       ,e-      ,e-      ,!       ,!       ,eisi-   ,e-      ,!       ,e-      
48  hake        ,        ,_       ,tt      ,_       ,_       ,see_    ,_       ,_       ,_       ,_       ,_       ,_       ,_       ,id      ,it      ,        ,        ,isi     ,        ,        ,        ,        ,        ,        ,        ,!       ,        ,        ,!       ,!       ,eisi-    ,e-      ,!       ,        
49  kinner      ,        ,ee      ,t       ,ee      ,ee      ,eesee   ,ee      ,ee      ,ee      ,ee      ,ee      ,ee      ,ee      ,e       ,i       ,        ,        ,i       ,        ,        ,        ,        ,        ,        ,        ,i       ,e       ,e       ,!       ,        ,i       ,e       ,i       ,e       
